Organization,Country,Info,Organization categorization,All ML Systems
 Hewlett Packard Enterprise,United States of America,,Industry,
 National Advanced Computing Industry Innovation Center (Yichang),China,,"Government,Industry",
"""Heart of the Sea"" AI Computing Center",China,,Government,
01.AI,China,,Industry,"Yi-34B,Yi-Large,Yi-Lightning,Yi-1.5-34B,Yi 6B,Yi Vision,Yi-VL-34B,Yi-1.5-9B,OpenChat-13b,MAP-Neo"
1X,"United States of America,Norway",,Industry,1X World Model
360 Security Technology,China,,Industry,"360 Smart Brain,360gpt2-pro,360zhinao2-o1,360Zhinao2-7B,360Zhinao-7B,360Zhinao3-7B-O1.5"
Aalborg University,Denmark,,Academia,DIABETES
Aalto University,Finland,,Academia,"DOT(S)-RNN,StyleGAN3-T,StyleGAN3-R,StyleGAN2"
Aarhus university,Denmark,,Academia,EvolMPNN
Abacus AI,United States of America,,Industry,
Abeja,Japan,,Industry,GPT-NeoX-Japanese
Academia Sinica,Taiwan,,Academia,YOLOv9-E
Academy of Military Science,China,,Government,ChatBit
Adept,United States of America,,Industry,"Fuyu-Heavy,Fuyu-8B,Persimmon-8B"
Adobe,United States of America,,Industry,"Firefly,Scatterbrain,GPT-2-Medium+Pixelfly,GPT-2-Small+Pixelfly,Firefly Video,GigaGAN,Firefly Image 3,Firefly Image 4,Firefly Image 4 Ultra"
Advanced Telecommunications Research Institute,Japan,,Industry,"Bidirectional RNN,Time-delay neural networks"
Aerospace Supercomputing Center in Wenchang,China,,Industry,
AGH University of Krakow,Poland,,Academia,
Ahrefs,United States of America,,Industry,
AI inside,Japan,https://inside.ai/en/,Industry,PolySphere-1
AI Sweden,Sweden,,,"GPT-SW3,gpt-sw3-40b"
AI21 Labs,Israel,,Industry,"Jurassic-1-Jumbo,Jurassic-X,Jurassic-2 Jumbo,Jamba,Jamba 1.5-Large,Jamba 1.5 Mini,Jamba 1.6 Large,Jamba 1.6 Mini"
Air Force Institute of Technology,United States of America,,Academia,
AIRI Artificial Intelligence Research Institute,Russia,,Research collective,"Transformer-XL + RMT,MULAN,OmniFusion-7B (InternViT-6B-448px V1-2)"
AITHYRA Institute,Austria,,Research collective,DiffSBDD (CrossDocked)
Aix-Marseille Université,France,,Academia,MACE-MP-0
Alan Turing Institute,United Kingdom of Great Britain and Northern Ireland,,Government,"StarCoder,aLSTM(depth-2)+RecurrentPolicy (WT2),WD+LR+M,Golem,MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune)"
Aleph Alpha,Germany,,Industry,"Luminous-supreme,Luminous Sparse,Pharia-1-LLM-7B,Luminous-extended,Luminous-base"
Alibaba,China,,Industry,"BaGuaLu,PLUG,M6-10T,M6-10B,M6-100B,M6-T,AR-LDM,Qwen-14B,Tongyi Qianwen 2.0,Qwen-72B,Qwen-7B,ONE-PEACE,Qwen-VL,Qwen-VL-Max,Qwen1.5-72B,Qwen-Audio-Chat,mPLUG-Owl2,H-LSTM+wg+rcp+rcg+wp,Qwen1.5-110B,Qwen2-72B,MuggleMath,Qwen2-Audio,Qwen2.5-72B,Qwen2-VL-72B,Qwen2-VL-2B,Qwen2-VL-7B,Qwen2.5-Coder (7B),Qwen2.5-Coder (1.5B),InstructPLM,Qwen2.5-Coder (32B),Qwen1.5-14B,Qwen2.5 Instruct (72B),Qwen2.5 Instruct (7B),QwQ-32B,Qwen1.5-32B,Qwen1.5-7B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-32B,Qwen2.5-Max,Qwen2-7B,Qwen2-57B-A14B,Qwen2.5-14B,Qwen Plus,Qwen-Turbo,QVQ,QVQ-Max,QWQ-Plus,Wan 2.1 14B,Qwen2.5-Math-7B-Base,Marco-o1,Ovis1.6-Gemma2-27B,Ovis1.6-Gemma2-9B,Qwen2.5-Math-1.5B,Qwen3-235B-A22B,Qwen3-30B-A3B,Qwen3-32B,Qwen3-14B,Qwen3-8B,Qwen3-4B,Qwen3-1.7B,Qwen3-0.6B,Animate Anyone,Animate Anyone 2,OutfitAnyone,Ovis-7B,Qwen2.5-VL-72B, Qwen2.5-VL-7B , Qwen2.5-VL-3B,Qwen2.5-Turbo,gte-modernbert,Qwen2-Math-72B,Xingchen LLM (淘宝（中国）软件有限公司),Qwen3-Coder-480B-A35B,Qwen2.5 Instruct (32B),Qwen2-Math-1.5B,Qwen2-Math-7B,Qwen2-1,5B"
Alibaba DAMO Academy,China,,Industry,"CogView,SeaLLM-7B-v2,SeaLLM-7B-v2.5,LLaVA-CoT,Xunguang "
Allen Institute for AI,United States of America,,Research collective,"Transformer ELMo,ELMo,YOLOv2,YOLO,DeLighT,Sandwich Transformer,Transformer-XL DeFINE (141M),S-Norm,UnifiedQA,BIDAF,ATLAS,SciBERT,Unified-IO (XL),OpenFlamingo,ALiBi (L=3072, Lvalid = 3072),T2R + Random Init,Shortformer,RFA-GATE-Gaussian-Stateful Big,OLMo-7B,Tk-Instruct,Delphi,Unicorn,OLMoE,Molmo 72B,Tulu V2 DPO 70B, Tulu 3 (Tülu 3) 70B,OLMo 2 Furious 7B,OLMo 2 Furious 13B,s1,OLMo-1B,OLMo 1.7-7B ,Atlantes,CodeScientist,s1-32B,s1.1,Tulu 3 8B,Tulu 3 405B,OLMo 2 32B,Specter"
Amazon,United States of America,,Industry,"AlexaTM 20B,WeNet (WT2),WeNet (Penn Treebank),BERT-Large-CAS (PTB+WT2+WT103),Amazon Titan,CTR-BERT,CodeWhisperer,BERT-Large-CAS (WT103),BERT-Large-CAS (WT2),WeNet (PTB),Amazon Titan Text Express,Amazon Titan Text Lite,T2V-Turbo-v2,Amazon Nova Pro,Amazon Nova Lite,Amazon Nova Micro,Amazon Q Developer,Amazon Nova Act,Amazon Nova Reel,Amazon Nova Sonic,Amazon Nova Canvas,Amazon Nova Premier,Amazon Transcribe,Amazon Titan Text Premier"
Amazon Machine Learning Solutions Lab,United States of America,,Industry,LM-GVP
American University of Beirut,Lebanon,,Academia,"AraGPT2-Mega,AraELECTRA,AraBERT,AraBERT LArge v2"
Amgen,United States of America,,Industry,AMPLIFY
Andreessen Horowitz,United States of America,,Industry,
Ant Group,China,The fintech firm backed by Chinese e-commerce giant Alibaba,Industry,"TCAN (WT2),TCAN (PTB),CodeFuse-13B,BaiLing,BaiLing TTS,bailing-pro-1120,LLaDA,Bailing-Lite-20250220,Bailing-Pro-20250225"
Anthropic,United States of America,,Industry,"Claude 2,Claude,Claude 1.3,Anthropic LM 52B,Claude 2.1,Anthropic LM 175B,Claude Instant,Claude 3 Haiku,Claude 3 Sonnet,Claude 3 Opus,Claude 3.5 Sonnet,Claude 3.5 Haiku,Claude 3.7 Sonnet,Claude Opus 4,Claude Sonnet 4,Claude Opus 4.1"
Apple,United States of America,,Industry,"BigSSL,Ferret (13B),DITTO,LSTM+NeuralCache,ReALM,Mobile V-MoEs,MM1-30B,AFM-on-device,AFM-server,MobileCLIP-B (LT),OpenELM-1.1B,OpenELM-3B,OpenELM-450M,OpenELM-270M,DCLM 7B"
Applied Digital,United States of America,,Industry,
Arcee AI,United States of America,,Industry,"INTELLECT-1,Hermes 2 Theta Llama-3 70B"
Argilla,Spain,,Industry,Zephyr 141B-A39B																																						
Argonne National Laboratory,United States of America,,Government,Intel Aurora 1T
Aristotle University of Thessaloniki,Greece,,Academia,GPT2+CoreLM+Fine-Tuning
Arizona State University,United States of America,,Academia,"Tk-Instruct,LearnLM-Tutor,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
ASAPP,United States of America,,Industry,"SRU++ Large,Transformer + Simple Recurrent Unit,SRU++ Base,SRU++ Large only 2 attention layers (k=5) (WT103)"
ASC27,Italy,,Industry,PLAPT
Asia university,Taiwan,,Academia,DeepRelax
AssemblyAI,,,Industry,"Universal-1,Universal-2-TF"
AstraZeneca,"Sweden,United Kingdom of Great Britain and Northern Ireland",,Industry,"PepINVENT,Reinvent 4"
AT&T,United States of America,,Industry,"BellKor 2008,BellKor 2009,BigChaos OptiBlend,MatrixFac for Recommenders,BellKor 2007,BigChaos 2008,Enhanced Neighborhood-Based Filtering,Tagging via Viterbi Decoding,Perceptron for Large Margin Classification,LeNet-5,Social and content-based classification,Random Decision Forests,Support Vector Machines,Zip CNN,Handwritten Digit Recognition System,AdaBoost.M2 Digit Recognition"
Australian Centre for Robotic Vision,Australia,,,RefineNet
Baichuan,China,,Industry,"Baichuan2-53B,Baichuan2-13B,Baichuan1-7B,Baichuan 1-13B,Baichuan 2-7B,Baichuan-Omni,Baichuan-Omni-1.5,Baichuan3"
Baidu,China,,Industry,"ERNIE 3.0 Titan,ERNIE-ViLG,ERNIE-GEN (large),CRF-RNN,PLATO-XL,ERNIE 3.5,ERNIE-Doc (247M),ERNIE 3.0,ERNIE 4.0,ERNIE-Doc Base (151M, WT103),GraphMS,STEPS,HelixFold,HelixProtX,ERNIE-ViLG 2.0,DL scaling speech,DL scaling LM,DL scaling Image,Ernie 4.0 Turbo,ERNIE-4.5-VL-424B-A47B (文心大模型4.5),ERNIE x1 (文心大模型X1),HelixFold3,ERNIE-4.5-VL-28B-A3B,ERNIE-4.5-300B-A47B,ERNIE-4.5-21B-A3B,ERNIE-4.5-0.3B"
Baidu Research - Silicon Valley AI Lab,United States of America,,Industry,"DeepSpeech2 (English),STEPS"
Bangladesh University of Engineering and Technology,India,,Academia,"RNA-DCGen,BiRNA-BERT"
Bar-Ilan University,Israel,,Academia,"Perfusion,DistilProtBert,NMT Transformer 437M"
Barcelona Institute of Science and Technology,Spain,,,"PocketVec
"
Barcelona Supercomputing Center,Spain,,Government,SS-pLM
Basecamp Research,United Kingdom of Great Britain and Northern Ireland,,Industry,"ZymCTRL,BaseFold,HiFi - NN"
BASF,Germany,,Industry,MACE-MP-0
Bayerische Staatsbibliothek Muenchen,Germany,,Government,"GBERT-Large,German ELECTRA Large"
Beihang University,China,,Academia,"Theseus 6/768,TrOCR,CogVLM-17B,GRU + p-tHSM (pretrain via Brown) (WT103),GRU + p-tHSM (pretrain via Brown) (PTB),GRU + p-tHSM (pretrain via Brown) (WT2),AdaRNN,Protllm,RiboDiffusion"
